,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
125,"Doctor Love - Tom Moulton 12"" Mix",Delusions (Bonus Version),First Choice,01-01-77,457746,18,0.502,0.0211,0.502,0.871,0.00382,0.667,-5.691,0.049,118.864,4
126,Love Thang,Hold Your Horses,First Choice,01-12-78,477453,19,0.804,0.00497,0.804,0.495,0.0801,0.248,-10.194,0.108,110.885,4
127,Dr. Love,Delusions (Bonus Version),First Choice,01-01-77,317533,15,0.474,0.0651,0.474,0.824,0,0.373,-6.179,0.0832,115.623,4
128,Love Having You Around,Delusions (Bonus Version),First Choice,01-01-77,408520,18,0.766,0.00759,0.766,0.702,0.00547,0.0717,-7.468,0.0672,111.341,4
129,Do Me Again,Delusions (Bonus Version),First Choice,01-01-77,228080,5,0.416,0.274,0.416,0.843,2.16E-06,0.57,-6.204,0.0589,169.965,4
130,September,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",23-11-78,215093,80,0.697,0.168,0.697,0.832,0.00131,0.269,-7.264,0.0298,125.926,4
131,Boogie Wonderland,I Am,"Earth, Wind & Fire",1979-06,288293,74,0.802,0.0843,0.802,0.756,0.00765,0.0521,-10.791,0.0349,131.715,4
132,Let's Groove,Raise!,"Earth, Wind & Fire",14-11-81,339320,74,0.869,0.121,0.869,0.648,2.17E-05,0.126,-8.698,0.0633,125.035,4
133,After the Love Has Gone,I Am,"Earth, Wind & Fire",1979-06,278040,68,0.424,0.532,0.424,0.443,0.000389,0.673,-13.45,0.0382,131.675,4
134,Fantasy - Single Version,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",23-11-78,226213,67,0.666,0.291,0.666,0.714,0.0212,0.128,-9.448,0.0617,89.018,4
135,Shining Star,That's The Way Of The World,"Earth, Wind & Fire",15-03-75,170160,64,0.676,0.668,0.676,0.692,0.00915,0.13,-13.093,0.052,102.516,4
136,That's the Way of the World,That's The Way Of The World,"Earth, Wind & Fire",15-03-75,345506,58,0.586,0.593,0.586,0.552,0.00101,0.31,-11.153,0.0488,82,4
137,In the Stone,I Am,"Earth, Wind & Fire",1979-06,288480,57,0.656,0.0964,0.656,0.662,0.000612,0.0853,-10.346,0.0493,114.612,4
138,Reasons,That's The Way Of The World,"Earth, Wind & Fire",15-03-75,299333,56,0.604,0.212,0.604,0.43,0,0.159,-10.624,0.0356,126.632,4
139,Rock That!,I Am,"Earth, Wind & Fire",1979-06,187813,35,0.578,0.111,0.578,0.772,0.824,0.555,-10.388,0.0456,126.926,4
140,The Rubberband Man,The Rubberband Man / Now That We're Together [Digital 45],The Spinners,1976,213000,67,0.801,0.74,0.801,0.446,0.038,0.0832,-14.605,0.0735,97.898,4
141,It's A Shame,2nd Time Around (Expanded Edition),The Spinners,1970,190058,64,0.372,0.0947,0.372,0.642,0,0.117,-11.955,0.0594,198.731,4
142,I'll Be Around,Spinners,The Spinners,1973,188800,63,0.593,0.175,0.593,0.791,0,0.0976,-8.698,0.068,112.295,4
143,Could It Be I'm Falling in Love,Spinners,The Spinners,1973,249733,60,0.382,0.729,0.382,0.727,0,0.196,-6.677,0.0861,207.265,4
144,Working My Way Back to You,The Very Best of the Spinners,The Spinners,1993,242666,60,0.818,0.289,0.818,0.768,4.73E-06,0.107,-6.975,0.0482,121.562,4
145,The Rubberband Man,Happiness Is Being With the Spinners,The Spinners,01-06-76,444133,50,0.821,0.414,0.821,0.611,0.000152,0.0943,-9.795,0.0555,97.264,4
146,Games People Play,Pick of the Litter,The Spinners,1975,284133,44,0.675,0.529,0.675,0.45,0.00109,0.0632,-10.878,0.0381,76.195,4
147,"Medley: Working My Way Back to You / Forgive Me, Girl",Dancin' and Lovin',The Spinners,1979,243200,43,0.84,0.469,0.84,0.777,3.58E-06,0.216,-6.399,0.0451,121.633,4
148,I Don't Want to Lose You,Pick of the Litter,The Spinners,1975,225466,42,0.526,0.865,0.526,0.296,0.00149,0.0868,-13.353,0.0261,133.423,4
149,One of a Kind (Love Affair),Spinners,The Spinners,1973,214146,40,0.608,0.263,0.608,0.428,0,0.093,-11.625,0.109,176.735,4
150,Don't Leave Me This Way (feat. Teddy Pendergrass),Wake Up Everybody (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,01-11-75,363973,61,0.472,0.278,0.472,0.71,1.36E-06,0.103,-8.852,0.0599,120.052,4
151,Wake Up Everybody (feat. Teddy Pendergrass),Wake Up Everybody (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,01-11-75,452773,60,0.565,0.426,0.565,0.644,0,0.264,-8.116,0.0696,97.716,4
152,If You Don't Know Me by Now (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,01-01-72,205906,57,0.345,0.721,0.345,0.465,0.000371,0.582,-9.55,0.0355,94.983,3
153,The Love I Lost (feat. Teddy Pendergrass),Black & Blue (Expanded Edition) (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,01-02-73,384613,54,0.665,0.119,0.665,0.859,0,0.0769,-4.532,0.0671,123.387,4
154,Wake up Everybody (feat. Teddy Pendergrass),Satisfaction Guaranteed - The Best Of Harold Melvin & The Bluenotes,Harold Melvin & The Blue Notes,22-12-92,220400,36,0.529,0.801,0.529,0.367,0.000476,0.0939,-14.742,0.0522,97.405,4
155,Bad Luck (feat. Teddy Pendergrass),To Be True (Expanded Edition) (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,01-03-74,386426,47,0.611,0.0226,0.611,0.634,0,0.145,-12.988,0.1,118.986,4
